Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
Leigh Creek Energy Limited,David Kit Shearwood,"Mark J. Terry, Phillip Staveley",Justin Haines,,,,,,Daniel Justyn Douglas Peters,,
Lemur Resources Limited,Anthony Richard Viljoen,,,,,,,,,,
Leo Resources Inc.,Anthony Jackson,,,,,,,,,,
Leopard Resources NL,Yakov Temov,,,,,,,,Jason Ferris,,
Lepanto Consolidated Mining Company,Felipe U. Yap,Ramon T. Diokno,Bryan U. Yap,Bryan U. Yap,,,,,Felipe U. Yap,Mervin C. Delos Santos,Edgardo R. Malaca
Lepidico Limited,Julian Walsh,Shontel Norgate,,,,,,,Gary Johnson,Tom Dukovcic,Tom Dukovcic
Lero Gold Corporation,,,,,,,,,,,
Lesego Platinum Mining Limited,,,,,,,,,,,
Letho Resources Corp.,Bryson Goodwin,Brian Patrick Morrison,,Bryson Goodwin,,,,,Bryson Goodwin,,
Leviathan Resources Pty Ltd.,,,,,,,,,,,
Leviev Group,,,,,,Arye Barboy,,,,,
Levon Resources Limited,Ron Tremblay,Nigel Kirkwood,,Ron Tremblay,,,,,Barry Honig,Victor Chevillon,
Lexacal Investment Corp.,Gerry E. Kerkhoff,Pardeep Sibia,Wade Smith,Gerry E. Kerkhoff,,,,,William A. Rand,,
Lexam Explorations Inc,,,,,,,,,,,
Lexam VG Gold Inc.,,Andrew Iaboni,Gerry McDonald,,,Christina McCarthy,,,Robert R. McEwen,Kenneth W. Guy,
Leyshon Resources Limited,,,,,,,,,Paul Campbell Atherley,,
LG International Corp.,Chi-Ho Song,Yong-Hwan Park,,Chi-Ho Song,,,,,Hyeon-Hoe Ha,,
"Li3 Energy, Inc.",Luis Francisco Saenz,Luis Santillana,,Luis Francisco Saenz,,,,,Patrick A. Cussen,,
Libero Mining Corporation,Ian Slater,Chui Wong,Ian Slater,,,,,,Ian Slater,Leo Hathaway,
Liberty Gold Corp.,Calvin Everett,Joanna Bailey,,Calvin Everett,,,,,Mark G. O'Dea,Moira Smith,Moira Smith
Liberty Leaf Holdings Limited,William Rascan,"Jamie Robinson, P. Joseph Meagher",,William Rascan,,,,,,,
Liberty Resources Limited,Andrew Haythorpe,,,,,,,,Andrew Haythorpe,,Eoghan Cunningham
Liberty Silver Corp.,Bruce D. Reid,Julio DiGirolamo,,Bruce D. Reid,,,,,,,Arthur Campo
Liberty Star Uranium and Metals Corporation,James A. Briscoe,James A. Briscoe,,James A. Briscoe,,,,,James A. Briscoe,,James A. Briscoe
LiCo Energy Metals Inc.,Timothy C. Fernback,Robert Guanzon,,Timothy C. Fernback,,,,,,,
Lidya Madencilik San. ve Tic. A.S.,,,,,,,,,,,
Lihir Gold Limited,,Glenn A. Ives,,,,,,Cheryl A. Martin,,,
Limtech Lithium Metal Technologies Inc.,John A. Stimpson,Patricia O'Sullivan,,John A. Stimpson,,,,,,,
Lincoln Gold Corporation,,,,,,,,,,,
Lincoln Minerals Limited,Allan John Parker,Jaroslaw K. Kopias,,,,,,,Jin Yubo,,Dwayne A. Povey
Lincoln Mining Corporation,Paul Fredrick Saxton,Eugene Beukman,Micheal Attaway,Paul Fredrick Saxton,,,,,,Jeffrey L. Wilson,
Lindian Resources Limited,,,,,,,,,Ariel Edward King,,
Linear Gold Corp.,,,,,,,,,,,
Lingbao Gold Group Company Ltd.,Junqiang Wang,Chi Leung Poon,Leo Wang,,,,,,Jianzheng Chen,,
Lingxi Ltd. Investment Co.,,,,,,,,,,,
Linux Gold Corp.,,,,,,,,,,,
Lion Creek Gold,,,,,,,,,,,
Lion Energy Corp (Africa Oil Corp),,Kevin Elliott,,,,,,,,,
Lion One Australia Pty Limited,,,,,,,,,Philip A. Lucas,,
Lion One Metals Limited,Walter H. Berukoff,Samantha Shorter,,,,,,,Walter H. Berukoff,,
Lion Selection Group Limited,Craig K. Smyth,,,,,,,Jane M. Rose,Christopher Paul Melloy,,
LionGold Corp. Limited,Soo Khoon Tan,Sian Hin Goh,,,,,,,Ibrahim Kamil Bin Ahmad Kamil,,
LionOre Mining International Ltd.,,,,,,,,,,,
Lions Gate Metals Inc.,Emily Davis,Lubica Niemann,,Emily Davis,,Peter Russell-Jones,,,,,
Lionsgold Limited,Cameron John Parry,Charles Furness,,,,,,,,,
Liontown Resources Limited,David Ross Richards,Richard Keith Hacker,,,,,,,Timothy Rupert Barr Goyder,,
"Lipari Energy, Inc.",John Liperote,Scott Warren,Thomas Liperote,Richard Liperote,,,,,John Liperote,,
Lithex Resources Limited,,Timothy Ryan Slate,,,,,,,David Colin Wheeler,Brendan Borg,Brendan Borg
Lithion Energy Corp.,,Karen Dyczkowski,,Shawn Westcott,,,,,,Darren L. Smith,Darren L. Smith
Lithium Americas Corp.,John A. Kanellitsas,Michael Cosic,,John A. Kanellitsas,,,,,W. Thomas Hodgson,,
Lithium Americas Corp.,W. Thomas Hodgson,Eduard Epshtein,,John A. Kanellitsas,,Myron G. Manternach,,,George Ring Ireland,Dennis Bryan,Dennis Bryan
Lithium Australia NL,Adrian Christopher Griffin,Barry Woodhouse,,,,,,,George Bauk,,
Lithium Consolidated Mineral Exploration Limited,Shanthar Pathmanathan,Duncan P. Cornish,,,,,,,Jim McKerlie,,
Lithium Corporation,,Thomas Lewis,,Thomas Lewis,,,,,,,
Lithium Energy Products Inc.,James Walker,Grant T. Smith,,Basil Roy Botha,,,,,Basil Roy Botha,,
"Lithium Exploration Group, Inc.",Alexander R. Walsh,Alexander R. Walsh,,Alexander R. Walsh,,,,,,,
Lithium One Inc,,,,,,,,,,,
Lithium Power International Limited,Martin Christopher Holland,Andrew Guy Phillips,,,,,,,David Ross Hannon,Murray Brooker,
Lithium X Energy Corp.,Brian Paes-Braga,Bassam Moubarak,Eduardo Morales,Brian Paes-Braga,,,,,Paul F. Matysek,,
"Liuzhou Iron&Steel Co., Ltd",,? ??,,,,,,,,,
LKA Gold Incorporated,Kye A. Abraham,Nanette Abraham,,Kye A. Abraham,,,,,Kye A. Abraham,,
Lodestar Minerals Limited,William Frank Clayton,David Maxwell McArthur,,,,,,,Ross Jeremy Taylor,William Frank Clayton,William Frank Clayton
Logan Copper Inc.,Ronald C. Bobowski,John Cruise,,Ronald C. Bobowski,,,,,,,
Logan Resources Ltd.,Mark J. Morabito,Carlo Valente,,,,,,,Charles Stewart Wallis,Craig Bow,
Lomiko Metals Inc.,A. Paul Gill,Jacqueline Michael,,A. Paul Gill,,,,,,,
Loncor Resources Inc.,Arnold T. Kondrat,Donat K. Madilo,,Arnold T. Kondrat,,,,,,,
London Mining Plc,Graeme Hossie,Benjamin Lee,,,,Ravindra Rathee,,Thomas Credland,Michael Miles,,
"Lone Star Gold, Inc.",Mark G. Townsend,,Scott A. Hepford,Mark G. Townsend,,,,,Mark G. Townsend,,
Longreach Resources,,,,,,,,,John Andrew Hannaford,,
Lonmin Plc,Ben Magara,Barrie van der Merwe,,,,,,,Brian Beamish,Tom Evans,
Loreto Resources Corp.,,,,,,,,,,,
Lornex Capital Inc.,Allan Larmour,,,Allan Larmour,,,,,,,
Lorraine Copper Corporation,James William Morton,Donald D. Sharp,,James William Morton,,,,,,Glen L. Garratt,
Los Andes Copper Ltd.,Antony J. Amberg,Aurora G. Davidson,,Antony J. Amberg,,,,,Klaus M. Zeitler,,Antony J. Amberg
Lounor Exploration Inc.,Gilles Fiset,,Gilles Fiset,Gilles Fiset,,,,,,,
Louvem Mines Inc.,Martin Rivard,,,Martin Rivard,,,,,Martin Rivard,,
Louvicourt Gold Mines Inc.,Fenton Scott,,,,,,,,,,
Lovitt Resources Inc.,C. Lorne Brown,Dominic Lapenna,,C. Lorne Brown,,,,,,,
L'sea Resources International Holdings Limited,Dong Nie,Yiu Por Lam,,,,,,,,,
LS-Nikko Copper Inc.,Sung-Won Kang,,,,,,,,,,
"Lubelski W?giel ""BOGDANKA"" Spó?ka Akcyjna",,Stanis?aw Misterek,,Krzysztof Szlaga,,,,,Miros?aw Kowalik,,
Lucapa Diamond Company Limited,Stephen Lee Wetherall,Johan van Wyk,Nick Selby,,,,,,Miles Alistair Kennedy,,
Lucapa Diamond Company Limited,,,,,,,,,,,
Lucara Diamond Corporation,William Lamb,Glenn Kondo,,William Lamb,,,,,Lukas H. Lundin,,
Lucky Minerals Inc.,Robert Rosner,Steven Cozine,,Robert Rosner,,,,,,,
Lugansk Gold Limited,,,,,,,,,,,
Luiri Gold Limited,Stuart Angus Murray,Angela Mary Pankhurst,,,,,,,Robert Brown,,
Lumina Copper Corp.,David Strang,,,David Strang,,,,,Robert P. Pirooz,,
Lumina Gold Corp.,Marshall Koval,Martin Rip,,Marshall Koval,,,,,,Diego Benalcazar,
Lumina Resources Corp,,Sandra M. Lim,,,,,,,Ross J. Beaty,,
Luna Gold Corporation,Christian Milau,Peter Hardie,David Charles Laing,Christian Milau,,,,,Steven K. Krause,,R. Scott Heffernan
Lund Enterprises Corp.,Chet Idziszek,Ian D. Brown,,Chet Idziszek,,,,,Chet Idziszek,,
Lundin Gold Inc.,Ron F. Hochstein,Alessandro Bitelli,,Ron F. Hochstein,,,,,Lukas H. Lundin,Nicholas Teasdale,
Lundin Mining Corporation,Paul K. Conibear,Marie Inkster,Peter M. Quinn,Paul K. Conibear,,Julie A. Lee Harrs,,,Lukas H. Lundin,Neil Patrick Matthew O'Brien,
Lundin Petroleum AB,Alexandre Schneiter,Teitur Poulsen,Nicholas John Robert Walker,Alexandre Schneiter,,,,Alex Budden,Ian H. Lundin,,
Luossavaara-Kiirunavaara AB,Jan Moström,Peter Hansson,,Jan Moström,,,,,Göran Persson,,
Lupaka Gold Corp.,Gordon Lloyd Ellis,Darryl F. Jones,,Gordon Lloyd Ellis,,,,,Gordon Lloyd Ellis,,
Lydian International Limited,Howard H. J. Stevenson,Douglas L. Tobler,"Andrew F. Kaczmarek, John Naisbitt",Howard H. J. Stevenson,,,,,Gordon Wylie,,
Lynas Corporation Limited,Amanda Lacaze,Gaudenz Sturzenegger,Amanda Lacaze,,,,,,Richard Michael Harding,,
Lyon Lake Mines Ltd.,,,,,,,,,,,
Maanshan Iron & Steel Company Limited,Haifan Qian,,,,,,,,Yi Ding,,
Macarthur Australia Limited,David Taplin,,,,,,,,Cameron McCall,,
Macarthur Minerals Limited,David Taplin,,,David Taplin,,,,,Cameron McCall,,
MacDonald Mines Exploration Limited,Quentin Yarie,Joseph Heng,Quentin Yarie,Quentin Yarie,,,,,Tara Gilfillan,Craig Scherba,
MacMillan Gold Corp,,,,,,,,,,,
MacPhersons Resources Limited,Jeffrey Wayne Williams,,,,,,,,Ashok A. Parekh,,
Macraes Mining Co. Ltd.,,,,,,,,,,,
MacroAsia Corp.,,Amador T. Sendin,,,,,,,,,
Madison Exploration Inc.,Thomas James Brady,Joseph Gallo,,,,,,,,,
Mag Copper Limited,,Marco Guidi,,Christopher O. Irwin,,Arthur John Carter,,,,,
MAG Silver Corporation,George N. Paspalas,Larry Taddei,,George N. Paspalas,,Marc Turcotte,,,Jonathan A. Rubenstein,Peter K.M. Megaw,
Magellan Minerals Ltd.,Alan H.C. Carter,Paul T. Hansed,,Alan H.C. Carter,,,,,James Stypula,,Guillermo Hughes
MagIndustries Corporation,Xiaolei Liang,,,,,,,,Xiaolei Liang,,
Magma Metals Pty Limited,,Andrew Graeme Scott,,,,,,,,,
Magmatic Resources Limited,David J. Richardson,Ian Hobson,,,,,,,David Wallace Berrie,Gordon James Barnes,
Magna Mining NL,,,,,,,,,,,
Magna Terra Minerals Inc.,Lewis V. Lawrick,J. Errol Farr,,Lewis V. Lawrick,,,,,Denis Hall,Paul David Robinson,
Magnetic Minerals Ltd,,,,,,,,,Alistair Cowden,,
Magnetic Resources NL,George Sakalidis,,,,,,,,Jin Huei Lim,,
Magnetite Mines Limited,Gordon L. Toll,Frank DeMarte,,,,,,,Gordon L. Toll,,Gavin England
Magnis Resources Limited,Frank Houllis,Pendy C. Tju,Rodney J. Chittenden,,,,,,Frank Poullas,Brent Laws,
Magnolia Resources Ltd,,,,,,,,,,,
Magnum D'or Resources Ltd.,,Benjamin J. Brown,,,,,,,,,
Magnum Gas & Power Limited,Trent Wheeler,,,,,,,,,,
Magnum Goldcorp Inc.,Douglas L. Mason,Sead Hamzagic,,Douglas L. Mason,,,,,,,
Magnum Mining and Exploration Limited,Grant Michael Button,,,,,,,,Darryl F. Lynton-Brown,,
Magnum Uranium Corp.,,,,,,,,,,,
Magnus International Resources Inc.,Graham Taylor,Graham Taylor,,Graham Taylor,,,,,,,
Magnus Minerals Ltd.,,,,,,,,,,,
Magontec Limited,Nicholas William Andrews,Derryn Chin,,,,,,Joel Forwood,Nicholas William Andrews,,
Mahdia Gold Corporation,"Donald Gordon, Michael Smith",,,,,,,,Donald Gordon,David Bending,
Mainstream Minerals Corporation,David Reid,Christopher J. Hopkins,,David Reid,,,,,Gregory Gibson,,
Majescor Resources Inc.,Michel Fontaine,Lucie Letellier,,Michel Fontaine,,,,,André D. Audet,,
Majestic Gold Corporation,Stephen P. Kenwood,James Mackie,,Stephen P. Kenwood,,,,,Gengshu Miao,,
Makena Resources Inc.,Negar Adam,Cindy Cai,,Negar Adam,,Dane Brown,,,,,
Malabar Coal Limited,,,,,,,,,Wayne Seabrook,,Darryl Stevenson
Malachite Resources Limited,Geoffrey R. Hiller,Andrew J. Cooke,,,,,,,Terry Cuthbertson,,
Malaga Inc.,,,,,,,,,,,
Malaysia Smelting Corporation Berhad,Mian Thong Yong,Soon Yong Au,Richard Andre Thibault,,,,,,Gek Khim Chew,Madzlan Bin Zam,Madzlan Bin Zam
Malbex Resources Inc.,Joseph Hamilton,Daniel Crandall,,Joseph Hamilton,,,,,,,
Mallee Gold Corp. Ltd.,,,Ashley Hood,,,,,,Keith Hood,,
Mammoth Energy Group Inc.,William Robert Lieberman,,,William Robert Lieberman,,,,,William Robert Lieberman,,
Mammoth Resources Corporation,Thomas R. Atkins,Errol Farr,,Thomas R. Atkins,,,,,,Richard Simpson,Richard Simpson
Manado Gold Corp.,Logan B. Anderson,David K. Ryan,,Logan B. Anderson,,,,,,,
"Managem, Société Anonyme",Imad Toumi,Naoual Zine,,Imad Toumi,,,,,,Lhou Maacah,
Manas Resources Limited,Philip Reese,,Philip Reese,,,,,,Mark Andrew Calderwood,,
Mancala Pty. Ltd.,Martin Kyne,Heidi Buitendag,,,,,,,,,
Mandalay Resources Australia Pty Limited,Adrian B. Molinia,,John Magnussen,,,,,,,,
Mandalay Resources Corporation,Mark Vandyke Sander,Sanjay Swarup,Dominic Duffy,Mark Vandyke Sander,,Belinda Elaine Labatte,,,Bradford Alan Mills,Chris Gregory,Chris Gregory
Mandalong Resources Limited,Vazrick Hovanessian,,,,,,,,Vazrick Hovanessian,,
Manganese X Energy Corp.,Martin Kepman,Jacques Arsenault,,Martin Kepman,,,,,,Roger F. Dahn,
Mangazeya Mining Ltd.,Sergey Yanchukov,Ada Lanyak,,,,,,,Liudmila Arutiunian,,
Manhattan Corporation Limited,Alan John Eggers,John Ribbons,William Witham,,,,,,Alan John Eggers,,
Manila Mining Corporation,Felipe U. Yap,Ethelwoldo E. Fernandez,Bryan U. Yap,Bryan U. Yap,,,,,Felipe U. Yap,Roberto A. Mabini,Roberto A. Mabini
Manitou Gold Inc.,Richard Murphy,Carmelo Marrelli,,Pat Dubreuil,,,,,,,
Manson Creek Resources Ltd.,,Douglas Porter,,Jean Pierre Jutras,,,,,Jean Pierre Jutras,,Jean Pierre Jutras
Mantis Mineral Corp.,,,,,,,,,,,
Mantle Diamonds Limited,,,,,,,,,,,
Mantle Mining Corporation Limited,Tammo de Vries,,,,,Winton Willesee,,,Robert Lawrence Barraket,Stuart Moore,
Mantra Resources Pty Limited,,Tyler Rice,,Tyler Rice,,,,,Ian Peter Middlemas,,
Manuka Resources Limited,Nicholas Mark Lindsay,,,,,,,,Dennis Karp,,
Marakand Minerals Limited,,,,,,,,,,,
Marathon Gold Corporation,Phillip C. Walford,James D. Kirke,,Phillip C. Walford,,,,,George D. Faught,Sherry M. Dunsworth,
"Marathon Patent Group, Inc.",Douglas B. Croxall,Francis Knuettel II,James G. Crawford,,,,,,Douglas B. Croxall,,
Marathon PGM Corp.,,,,,,,,,,,
Marathon Resources Limited,,,,,,,,,,,
"Marcventures Holdings, Inc.",Isidro C. Alcantara Jr.,Rolando S. Santos,,Isidro C. Alcantara Jr.,,Reuben F. Alcantara,,,Cesar C. Zalamea,,
Marenica Energy Limited,Murray Philip Hill,Riccardo Vittino,,,,,,,Alan Douglas Buerger,,
Margaret Lake Diamonds Inc.,Paul Brockington,Debbie Lew,,Paul Brockington,,,,,,Buddy James Doyle,
Margaux Resources Limited,H. Tyler Rice,Jason Linkewich,,H. Tyler Rice,,,,,James A. Letwin,Linda Caron,
Mariana Resources Limited,Glen W. Parsons,Sharon Cooper,Eric Roth,,,,,,John Robert Horsburgh,Eric Roth,
Marifil Mines Limited,John B. Hite,Alexander McAulay,,John B. Hite,,,,,,,
Marindi Metals Limited,Joseph Allen Treacy,,,,,,,,Ross Ernest Ashton,Guy Moulang,
Marine Mining Corp.,Michael Hibbard,,,,,,,,,,
Marion Energy Ltd.,,Karel Louman,,,,,,,,,
Maritime Resources Corp.,Douglas A. Fulcher,Jeannine P. M. Webb,Andrew Pooler,Douglas A. Fulcher,,,,,Allan W. Williams,Bernard H. Kahlert,
Marksmen Resources Ltd.,Archibald Jonathon Nesbitt,John McIntyre,,,,,,,Archibald Jonathon Nesbitt,,
Marlin Gold Mining Ltd.,Akiba J. Leisman,Scott Kelly,Jesse S. Muñoz,,,Cesare N. Gonzalez,,,Akiba J. Leisman,,
Marlin Gold Mining USA Ltd.,,,,,,,,,,,
Marmota Limited,,Victoria Allinson,,,,,,,Colin Rose,Kevin John Anson Wills,Daniel Gray
Marquee Resources Limited,,,,,,,,,Mark J. Ashley,,
Marret Resource Corp.,Peter Rizakos,David Dean Guebert,,Peter Rizakos,,,,,John R. Anderson,,
Marshall Lake Mining Limited,Paul McGroary,James Alexander Dudgeon,,,,,,,Jeffrey Francis Anthony Malaihollo,,
Marubeni Corporation,Fumiya Kokubu,Nobuhiro Yabe,Nobuhiro Yabe,Fumiya Kokubu,,,,,Teruo Asada,,
Mar-West Resources Ltd. (Goldcorp),,,,,,,,,,,
Mason Graphite Inc.,Benoît Gascon,Luc Veilleux,,Benoît Gascon,,,,,Tyrone Docherty,,
Mason Resources Corp.,Stephen Victor Scott,Duane Lo,Robert Cinits,Stephen Victor Scott,,,,,Alan R. Edwards,,
Masuparia Gold Corporation,Ronald K. Netolitzky,Karen Anne Allan,,Ronald K. Netolitzky,,,,,Ronald K. Netolitzky,,
"Matachewan Consolidated Mines, Limited",Richard Duncan McCloskey,Edward G. Dumond,,Richard Duncan McCloskey,,,,,,,
Matador Exploration Inc,,,,,,,,,,,
Matador Mining Limited,,,,,,,,,Patrick Walta,,
"Matamec Explorations, Inc.",André Gauthier,Marcel Bergeron,,André Gauthier,,,,,,,
Match Capital Resources Corp.,Elizabeth J. Kirkwood,,,Elizabeth J. Kirkwood,,,,,,,
Matrix Gold Pty Limited,,,,,,,,,,,
Matsa Resources Limited,Paul Poli,Andrew D. Chapman,,,,,,,Paul Poli,David Fielding,David Fielding
Maudore Minerals Ltd.,George R. Fowlie,George R. Fowlie,,,,,,Deborah Thompson,George R. Fowlie,Tyson C. Birkett,Kevin Kivi
Maverix Metals Inc.,Daniel O'Flaherty,Wayne Vincent,,Daniel O'Flaherty,,,,,Geoffrey A. Burns,,
Maverix Metals Inc.,Daniel O'Flaherty,Matt Fargey,,Daniel O'Flaherty,,Brent Bonney,,,Geoffrey A. Burns,,
Mavuzi Resources Ltd,,,,,,,,,Ian Peter Middlemas,,
Mawarid Mining LLC,Tariq Al Barwani,,,,,,,,,,
Mawson Resources Limited,Michael Robert Hudson,Nick DeMare,,Nicholas Cook,,,,,Michael Robert Hudson,,Erkki Vanhanen
Mawson West Limited,,D’Shorne Human,,,,,,,,,
Max Resource Corp.,Stuart W. Rogers,Mark N. Gelmon,,Stuart W. Rogers,,,,,,,
Maxam Gold Corp,Michael A. Barron,Wayne Bailey,,Joseph A. Cosio-Barron,,,,,Michael A. Barron,,
Maxe-Tec Australia Ltd.,Ronald Hopkins,Norman Anderson-Bell,,,,,,,Norman Anderson-Bell,,
Maximus Resources Limited,Kevin John Malaxos,Rajita Shamani Alwis,,,,,,,Robert Michael Kennedy,,
Maximus Ventures Ltd.,,,,,,,,,,,
Maxore Minerals Corp.,Robert L. Thast,Andrew W. Bowering,,Robert L. Thast,,,,,,,
MaxTech Ventures Inc.,Peter G. Wilson,Ryan E. Cheung,,,,,,,,,
Maxy Gold Corp.,,Danny C. Hon,,,,,,,S. Paul Simpson,,
Maya Gold and Silver Inc.,Noureddine Mokaddem,,Noureddine Mokaddem,Noureddine Mokaddem,,,,,René Branchaud,,
Mayo Gold Explorations Ltd.,,,,,,,,,,,
Mazarin Inc.,John Arthur LeBoutillier,Mario Simard,,,,,,,John Arthur LeBoutillier,,
Mazorro Resources Inc.,Ryan Brown,,,Ryan Brown,,,,,,,
MBC Resources Ltd (Metropol),,,,,,,,,,,
MBMI Resources Inc.,Shuen Chuen Chan,K.H. Chan,,Shuen Chuen Chan,,,,,Christopher A. Aiello,,
McChip Resources Inc.,,,,,,,,,,,
McEwen Mining Inc.,Robert R. McEwen,Andrew L. Elinesky,Xavier L. Ochoa,Xavier L. Ochoa,,Christina McCarthy,,,Robert R. McEwen,Sylvain Guerard,
Mckenzie Bay International Ltd.,,,,,,,,,,,
McLaren Resources Inc.,Radovan Danilovsky,David McDonald,,Radovan Danilovsky,,,,,John B. Heslop,Kenneth W. Guy,
McVicar Industries Inc.,Gang Chai,,,Gang Chai,,,,,Gang Chai,,
McWatters Mining Inc.,,,,,,,,,,,
Meadow Bay Gold Corporation,Christopher Crupi,Keith Margetson,,Christopher Crupi,,,,,Robert G. Dinning,Douglas H. Oliver,
Mechel OAO,,,,,,,,,,,
Mechel PAO,Oleg Viktorovich Korzhov,Sergey V. Rezontov,,,,,,,Igor Vladimirovich Zyuzin,,
Medallion Resources Limited,Donald M. Lay,Thomas Arnould,,Donald M. Lay,,,,,David A. Haber,,
Medera Life Science Corp.,,,,,,,,,,,
MedGold Resources Corporation,Simon T. P. Ridgway,Kevin Bales,,Daniel P. James,,,,,Simon T. P. Ridgway,,David Clark
Media World Communications Ltd.,,,,,,,,,,,
Medical Monitors Ltd.,,,,,,,,,,,
"Medinah Minerals, Inc.",Kevin Tupper,,,Kevin Tupper,,,,,Gary P. Goodin,,
Mediterranean Resources Ltd.,Robert J. Abenante,,,Robert J. Abenante,,,,,Robert J. Abenante,,
Medoro Resources (Yukon) Inc.,,,,,,,,,,,
Medusa Mining Limited,Boyd Walter Timler,Peter Stanley Alphonso,Boyd Walter Timler,,,,,,Andrew Boon San Teo,,James P. Llorca
Mega Copper Ltd.,Marilyn Miller,Patrice Nazereno,,Marilyn Miller,,,,,,,
Mega Precious Metals Inc.,Glen Kuntz,"Lance Dyll, Nathan Lance Dyll",,Glen Kuntz,,,,,Mario Stifano,Tim Twomey,Ryus St. Pierre
Mega Uranium Limited,Richard J. Patricio,Carmelo Marrelli,,Richard J. Patricio,,,,,Albert Contardi,,
Megastar Development Corp.,Du?an Berka,Zahara Kanji-Aquino,,Du?an Berka,,,,,,,
Mekong Minerals Limited,,,,,,,,,,,
Meliadine Holdings Inc (Agnico-Eagle),,Garth E. Schultz,Mark J. Balog,,,,,,,,
Melior Resources Inc.,Mark Mccauley,Jonathan Mattiske,,,,,,,Charles H. Entrekin,,
Melkior Resources Incorporated,Keith James Deluce,David Lindsay,,Keith James Deluce,,,,,Norman Farrell,Wade Kornik,
Melrose Gold Mines Limited,Nicholas Powrie,,,,,,,,,,
Mena Resources Inc.,Mario D. Szotlender Rajs,,,Mario D. Szotlender Rajs,,,,,,,
Merafe Resources Limited,Zanele Joyce Matlala,Kajal Bissessor,,,,,,,Christopher K. Molefe,,
Mercantile Gold Co.,,,,,,,,,,,
Mercator Minerals Limited,,,,,,,,,,,
Meridian Gold Inc,,,,,,,,Cheryl A. Martin,,,
Meridian Minerals Ltd (Northwest Nonferrous),,,,,,,,,Raymond Bruce Miller,,
Meridian Mining S.E.,Anthony Julien,Jonathan Richards,Carlos Braga,Anthony Julien,,,,,Barry Colin Bolitho,Adrian McArthur,
Merit Industries Inc.,Mark Kauhane,Aashit Wadhwani,,,,,,,Aashit Wadhwani,,
Meritus Minerals Ltd.,Terence E. Bates,Matthew Facey,,Terence E. Bates,,,,,,,
Merlin Diamonds Limited,Mordechai Zev Gutnick,Peter James Lee,,,,,,,Mordechai Zev Gutnick,,
Merrex Gold Incorporated,Gregory P. Isenor,John C. R. Cumming,,Gregory P. Isenor,,,,,,,
Meryllion Resources Corporation,,Zula Kropivnitski,,,,,,,,,
Mesa Exploration Corporation,Foster Wilson,Joe Chan,,Foster Wilson,,,,,Brian P. Kirwin,,
Mesa Minerals Limited,,,,,,,,,Collis Thorp,,
Mesa Resources Inc.,,,,,,,,,,,
Messina Minerals Inc.,,,,,,,,,,,
Messina Platinum Mines Limited,,,,,,,,,,,
Metal Bank Limited,Anthony William Schreck,Guy Robertson,Anthony William Schreck,,,,,,Inés Louise Scotland,Trevor Dean Wright,
Metal Tiger Plc,David Michael McNeilly,Keith J. Springall,,,,,,,Charles Patrick Stewart Hall,,
Metalcorp Limited,Donald Alexander Sheldon,Peter M. Blunt,,Donald Alexander Sheldon,,,,,Donald Alexander Sheldon,,
Metalex Ventures Limited,Chad Stanley Ulansky,Jennifer Irons,Keiven Bauer,Chad Stanley Ulansky,,,,,Charles E. Fipke,,Chad Stanley Ulansky
Metalicity Limited,Matthew Gauci,Justin Barton,,,,,,,Andrew Edward Daley,Pip Darvall,
Metaliko Resources Limited,John Price,,John Price,,,,,,Peter Bilbe,David O'Farrell,
Metalla Royalty and Streaming Limited,Brett Heath,William Tsang,,Brett Heath,,,,,Timothy D. Gallagher,,
Metallic Minerals Corp.,Gregory Johnson,Tim C. Thiessen,,,,,,,Gregory Johnson,Scott Petsel,
"Metallic Ventures Gold, Inc.",Miles Bachman,Miles Bachman,,Miles Bachman,,,,,Jeffrey Randle Ward,,
Metallica Minerals Limited,Simon Joseph Slesarewich,John Kevin Haley,,,,,,,Peter Turnbull,,
Metallica Resources Inc,,,,,,,,,,,
Metallis Resources Inc.,Fiore Aliperti,Jon Lever,,Fiore Aliperti,,,,,Michael Sikich,David DuPre,
Metallum Limited,,,,,,,,,Winton Willesee,,
Metallum Resources Inc.,Wade K. Dawe,Robert Randall,,,,,,,Kevin Bullock,,
Metallurgical Corporation of China Limited,,Hongying Zou,,Mengxing Zhang,,,,,Wenqing Guo,,
Metalore Resources Limited,Armen Chilian,John A. Ryan,,Armen Chilian,,,,,John Claire McVicar,,
Metals Australia Limited,,Norman Grafton,,,,,,,Hersh Solomon Majteles,,
Metals Creek Resources Corporation,Alexander Stares,Nikolaos S. Tsimidis,,Alexander Stares,,,,,,Michael MacIsaac,
Metals Exploration Ltd.,,,,,,,,,,,
Metals Exploration Plc,,Stephen J. Kelly,,,,,,,Ian Raymond Holzberger,,
Metals X Limited,Warren Shaye Hallam,Fiona J. Van Maanen,Allan King,,,,,,Peter John Newton,,Jake W. Russell
MetalsTech Limited,,,,,,,,,Russell Harold Moran,,
Metanor Resources Inc.,Gregory Gibson,Claudine Lévesque,Pascal Hamelin,Pascal Hamelin,,,,,Gregory Gibson,Claude Gobeil,Francis Lefebvre
Metco Resources Inc,,,,,,,,,,,
Meteoric Resources NL,,,,,,,,,Neville John Bassett,Roger M. Thomson,
