Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
Andina Minerals Inc.,,,,,,,,,Terence Sean Harvey,,
Andover Mining Corporation,Gordon Blankstein,Roland Vetter,Kent Turner,,,,,,,,
Andresmin Gold Corp.,,,,,,,,,,,
Andromeda Metals Limited,Christopher George Drown,Nicholas John Harding,,,,,,,Colin G. Jackson,Mark A. Manly,Mark A. Manly
Andulela Investment Holdings Limited,Ashruf Kaka,Johannes H.P. Engelbrecht,,,,,,,Mohamed J. Husain,,
Anfield Gold Corp.,Marshall Koval,Martin Rip,Andrew D. B. Storrie,Andrew D. B. Storrie,,Scott Hicks,,,Marshall Koval,Andrew B. Carstensen,Leo Hathaway
Anfield Resources Inc.,Corey Dias,Laara Shaffer,,,,,,,,,
Angara Mining Plc,,,,,,,,,,,
Angel Gold Corp.,Blanca Stella Frias,Mark N. Gelmon,,Blanca Stella Frias,,,,,,James Stephenson,
Angel Mining Plc,Nicholas Hall,Kevin Hayes McNair,,,,,,,,,
Angkor Gold Corporation,Michael Weeks,Terry Mereniuk,John-Paul Dau,Michael Weeks,,Stephen Burega,,,Michael Weeks,Dennis Ouellette,
Anglesey Mining Plc,D. William Hooley,Danesh K. Varma,,,,,,,John F. Kearney,,
Anglo African Oil & Gas plc,,,,,,,,,Brian Michael Moritz,,
Anglo American Platinum Limited,Christopher Ivan Griffith,Ian Botha,,,,,,,Mohammed Valli Moosa,,
Anglo American Plc,Mark Cutifani,Stephen Pearce,,,,,,,John Parker,Anthony Martin O'Neill,
Anglo Asian Mining Plc,Mohammed Reza Vaziri,William Morgan,,Mohammed Reza Vaziri,,,,,Khosrow Kashani Zamani,,Stephen Westhead
Anglo Australian Resources NL,,Graeme Ian Smith,John Load Cecil Jones,,,,,,John Load Cecil Jones,,
Anglo Pacific Group Plc,Julian A. Treger,Kelvin Flynn,,,,,,,N. Patrick H. Meier,,
Anglo Potash Ltd,,,,,,,,,,,
Anglo-Bomarc Mines Ltd.,Eva Miao,William Li,,William Li,,,,,,,
Anglo-Canadian Mining Corporation,Leonard J. Harris,James Albert Turner,,Leonard J. Harris,,,,,,,
AngloGold Ashanti Limited,Srinivasan Venkatakrishnan,Kandimathie Christine Ramon,Chris Sheppard,,,,,,Sipho Mila Pityana,Vaughan A. Chamberlain,Vaughan A. Chamberlain
Angus Mining Inc.,Fraser Alexander Buchan,Brian Morales,,Fraser Alexander Buchan,,,,,,,
Anhui Bureau of Geology and Mineral Explo,,,,,,,,,,,
Animas Resources Ltd.,,,,,,,,,,,
Anova Metals Limited,Gregory William Fry,Steven Luke Jackson,Bruce McLarty,Gregory William Fry,,,,,Malcolm Raymond Scott James,,
Anson Resources Limited,Bruce Andrew Richardson,,,,,,,,Bruce William McLeod,,
Antares Minerals Inc,,Mark Wayne,,,,,,,,,
Antares Mining Limited,,,,,,,,,,,
Anthem Resources Incorporated,Walter Coles Jr.,Karen Anne Allan,,Walter Coles Jr.,,,,,,Michael S. Cathro,
Anthem United Inc.,Gregory D. Smith,Kylie Dickson,,Gregory D. Smith,,,,,,,
Anthem United Inc. - Historical,,,,,,,,,,,
Antioquia Gold Inc.,Gonzalo de Losada,Rodger Roden,,Gonzalo de Losada,,,,,Gonzalo de Losada,,
Antipa Minerals Limited,Roger Craig Mason,,,,,,,,Stephen Power,,
Antofagasta Plc,Iván Arriagada,Alfredo Atucha,Hernán Menares,,,Andronico Luksic Lederer,,,Jean-Paul Luksic,,
